original_line,game_name,custom_name,bgg_link,bgg_id,name,year,yearpublished,rank,bayesaverage,average,usersrated,is_expansion,bgg_rank,bgg_rating,bgg_average,bgg_users_rated,abstracts_rank,cgs_rank,childrensgames_rank,familygames_rank,partygames_rank,strategygames_rank,thematic_rank,wargames_rank,status,confidence,image_filename,min_players,max_players,best_player_count,recommended_player_count,playing_time,complexity_weight,mechanics,categories
https://boardgamegeek.com/boardgame/105593/cheating-moth # Mogel Motte,Mogel Motte,Mogel Motte,https://boardgamegeek.com/boardgame/105593/cheating-moth,105593,Cheating Moth,2011,2011,2594,6.09965,6.41256,5952,0,2594,,,,,,,,223.0,,,,Found from URL,High,Cheating Moth_2011_105593.jpg,3,5,5,4,30 min,1.14,Hand Management,Action / Dexterity; Card Game
https://boardgamegeek.com/boardgame/259005/farben # Farben,Farben,Farben,https://boardgamegeek.com/boardgame/259005/farben,259005,Farben,2018,2018,10488,5.57591,6.47271,221,0,10488,,,,,,,,,,,,Found from URL,High,Farben_2018_259005.jpg,3,5,,,45-75 min,1.2,Memory; Storytelling,Card Game
https://boardgamegeek.com/boardgame/22347/monstrolicious # Monstrolicious,Monstrolicious,Monstrolicious,https://boardgamegeek.com/boardgame/22347/monstrolicious,22347,Monstrolicious,1998,1998,4733,5.79306,6.47699,1005,0,4733,,,,,,,1470.0,,,,,Found from URL,High,Monstrolicious_1998_22347.png,2,2,2,,20 min,1.32,Auction / Bidding,Animals; Bluffing; Card Game
https://boardgamegeek.com/boardgame/361850/nimalia # Nimalia,Nimalia,Nimalia,https://boardgamegeek.com/boardgame/361850/nimalia,361850,Nimalia,2023,2023,2202,6.19491,7.03739,1897,0,2202,,,,,,,650.0,,,,,Found from URL,High,Nimalia_2023_361850.png,2,4,3,"2, 4",25-30 min,1.68,Closed Drafting; Grid Coverage; Layering; Simultaneous Action Selection; Tile Placement,Animals; Environmental; Territory Building
https://boardgamegeek.com/boardgame/170927/kortslutning # Kurzschluss,Kurzschluss,Kurzschluss,https://boardgamegeek.com/boardgame/170927/kortslutning,170927,Kortslutning,2014,2014,27342,5.48318,4.73158,57,0,27342,,,,,,,,,,,,Found from URL,High,Kortslutning_2014_170927.png,2,99,,,15-45 min,1.0,,Party Game; Trivia
https://boardgamegeek.com/boardgame/256804/exploding-kittens-party-pack # Exploding Kittens: Party Pack,Exploding Kittens: Party Pack,Exploding Kittens: Party Pack,https://boardgamegeek.com/boardgame/256804/exploding-kittens-party-pack,256804,Exploding Kittens: Party Pack,2017,2017,2211,6.19112,7.06456,2541,0,2211,,,,,,,,164.0,,,,Found from URL,High,Exploding Kittens Party Pack_2017_256804.png,2,10,"5, 6","2, 3, 4, 7, 8, 9, 10",15 min,1.07,Hand Management; Player Elimination; Push Your Luck; Set Collection; Take That,Animals; Card Game; Comic Book / Strip
https://boardgamegeek.com/boardgame/172242/exploding-kittens-nsfw-edition # Exploding Kittens: NSFW Edition,Exploding Kittens: NSFW Edition,Exploding Kittens: NSFW Edition,https://boardgamegeek.com/boardgame/172242/exploding-kittens-nsfw-edition,172242,Exploding Kittens: NSFW Edition,2015,2015,3319,5.96327,6.23276,10742,0,3319,,,,,,,,428.0,,,,Found from URL,High,Exploding Kittens NSFW Edition_2015_172242.png,2,5,"4, 5",3,10-20 min,1.08,Hand Management; Player Elimination; Push Your Luck; Set Collection; Take That,Animals; Card Game; Comic Book / Strip
https://boardgamegeek.com/boardgame/362202/zombie-kittens # Zombie Kittens,Zombie Kittens,Zombie Kittens,https://boardgamegeek.com/boardgame/362202/zombie-kittens,362202,Zombie Kittens,2022,2022,4854,5.78132,6.53913,1123,0,4854,,,,,,,,381.0,,,,Found from URL,High,Zombie Kittens_2022_362202.jpg,2,5,"4, 5",3,15 min,1.22,Hand Management; Hot Potato; Push Your Luck,Animals; Card Game; Horror
https://boardgamegeek.com/boardgame/204135/skyjo # Skyjo,Skyjo,Skyjo,https://boardgamegeek.com/boardgame/204135/skyjo,204135,Skyjo,2015,2015,1915,6.26951,6.66441,5680,0,1915,,,,,,,672.0,,,,,Found from URL,High,Skyjo_2015_204135.jpg,2,8,4,"2, 3, 5, 6",15-45 min,1.07,Set Collection,Card Game; Math
https://boardgamegeek.com/boardgame/3955/bang # Bang!,Bang!,Bang!,https://boardgamegeek.com/boardgame/3955/bang,3955,BANG!,2002,2002,1750,6.3223,6.48744,33824,0,1750,,,,,,,,226.0,,,,Found from URL,High,BANG_2002_3955.jpg,4,7,7,"5, 6",20-40 min,1.63,Hand Management; Hidden Roles; Hot Potato; Kill Steal; Player Elimination,American West; Bluffing; Card Game
https://boardgamegeek.com/boardgame/156009/port-royal # Port Royal,Port Royal,Port Royal,https://boardgamegeek.com/boardgame/156009/port-royal,156009,Port Royal,2014,2014,612,6.89668,7.10803,18688,0,612,,,,,,,166.0,,,,,Found from URL,High,Port Royal_2014_156009.jpg,2,5,"3, 4","2, 5",20-50 min,1.62,Contracts; Events; Income; Move Through Deck; Open Drafting,Card Game; Economic; Nautical
https://boardgamegeek.com/boardgame/223040/fantasy-realms # Fantastische Reiche,Fantastische Reiche,Fantastische Reiche,https://boardgamegeek.com/boardgame/223040/fantasy-realms,223040,Fantasy Realms,2017,2017,262,7.24346,7.50691,17474,0,262,,,,,,,51.0,,,,,Found from URL,High,Fantasy Realms_2017_223040.jpg,2,6,"2, 3","4, 5",20 min,1.81,End Game Bonuses; Hand Management; Open Drafting; Set Collection; Tags,Card Game; Fantasy
https://boardgamegeek.com/boardgame/411404/power-hungry-pets # Power Hungry Pets,Power Hungry Pets,Power Hungry Pets,https://boardgamegeek.com/boardgame/411404/power-hungry-pets,411404,Power Hungry Pets,2024,2024,5612,5.72741,6.97948,485,0,5612,,,,,,,,,,,,Found from URL,High,Power Hungry Pets_2024_411404.png,2,6,,"3, 4, 5, 6",15 min,1.17,Player Elimination,Card Game
https://boardgamegeek.com/boardgame/125083/things-they-dont-teach-you-in-school # Klugscheisser,Klugscheisser,Klugscheisser,https://boardgamegeek.com/boardgame/125083/things-they-dont-teach-you-in-school,125083,Things They Don't Teach You in School,2010,2010,28638,5.45474,4.19765,85,0,28638,,,,,,,,,,,,Found from URL,High,Things They Dont Teach You in School_2010_125083.png,2,99,,,15-45 min,1.0,,Card Game; Mature / Adult; Party Game
https://boardgamegeek.com/boardgame/263918/cartographers # Der Kartograph,Der Kartograph,Der Kartograph,https://boardgamegeek.com/boardgame/263918/cartographers,263918,Cartographers,2019,2019,171,7.40016,7.56658,34250,0,171,,,,,,,27.0,,,,,Found from URL,High,Cartografii O poveste în universul Roll Player_2019_263918.png,1,100,"3, 4","1, 2, 5, 6, 7, 8",30-45 min,1.89,Bingo; Enclosure; End Game Bonuses; Grid Coverage; Paper-and-Pencil,Fantasy; Territory Building
https://boardgamegeek.com/boardgame/403128/who-the-fck # Who the F*ck,Who the F*ck,Who the F*ck,https://boardgamegeek.com/boardgame/403128/who-the-fck,403128,Who the F*ck?,2024,2024,11740,5.55915,6.815,122,0,11740,,,,,,,,,,,,Found from URL,High,Who the Fck_2024_403128.jpg,3,8,,,20 min,1.2,Cooperative Game; Voting,Card Game; Party Game
https://boardgamegeek.com/boardgame/156009/port-royal # Port Royal Big Box,Port Royal Big Box,Port Royal Big Box,https://boardgamegeek.com/boardgame/156009/port-royal,156009,Port Royal,2014,2014,612,6.89668,7.10803,18688,0,612,,,,,,,166.0,,,,,Found from URL,High,Port Royal_2014_156009.jpg,2,5,"3, 4","2, 5",20-50 min,1.62,Contracts; Events; Income; Move Through Deck; Open Drafting,Card Game; Economic; Nautical
https://boardgamegeek.com/boardgame/228867/unlock-mystery-adventures # Unlock! Mysterium,Unlock! Mysterium,Unlock! Mysterium,https://boardgamegeek.com/boardgame/228867/unlock-mystery-adventures,228867,Unlock!: Mystery Adventures,2017,2017,972,6.65375,7.31758,4055,0,972,,,,,,,229.0,,,176.0,,Found from URL,High,Unlock Mystery Adventures_2017_228867.jpg,1,6,2,"1, 3, 4",45-75 min,2.09,Cooperative Game; Storytelling,Card Game; Exploration; Puzzle
https://boardgamegeek.com/boardgame/216091/unlock-escape-adventures-the-formula # Unlock! Die Formel,Unlock! Die Formel,Unlock! Die Formel,https://boardgamegeek.com/boardgame/216091/unlock-escape-adventures-the-formula,216091,Unlock!: Escape Adventures – The Formula,2017,2017,1708,6.33801,6.98037,2916,0,1708,,,,,,,,,,342.0,,Found from URL,High,Unlock Escape Adventures  The Formula_2017_216091.jpg,1,6,"2, 3","1, 4",45-75 min,2.29,Cooperative Game; Elapsed Real Time Ending; Storytelling,Card Game; Puzzle
https://boardgamegeek.com/boardgame/317365/adventure-games-the-gloom-city-file # Adventure Games: The Gloom City File,Adventure Games: The Gloom City File,Adventure Games: The Gloom City File,https://boardgamegeek.com/boardgame/317365/adventure-games-the-gloom-city-file,317365,Adventure Games: The Gloom City File,2021,2021,7218,5.64994,6.92833,270,0,7218,,,,,,,,,,1077.0,,Found from URL,High,Adventure Games The Gloom City File_2021_317365.jpg,1,4,2,"1, 3, 4",90 min,1.82,Cooperative Game; Narrative Choice / Paragraph,Adventure
https://boardgamegeek.com/boardgame/369552/suspects-todliche-spuren # Suspects: Tödliche Spuren,Suspects: Tödliche Spuren,Suspects: Tödliche Spuren,https://boardgamegeek.com/boardgame/369552/suspects-todliche-spuren,369552,Suspects: Tödliche Spuren,2022,2022,13388,5.54547,6.7825,80,0,13388,,,,,,,,,,,,Found from URL,High,Suspects Tödliche Spuren_2022_369552.jpg,1,5,,,90-150 min,1.4,Cooperative Game,Card Game; Deduction
https://boardgamegeek.com/boardgame/373835/unlock-kids-stories-from-the-past# Unlock! Kids,Unlock! Kids,Unlock! Kids,https://boardgamegeek.com/boardgame/373835/unlock-kids-stories-from-the-past,373835,Unlock! Kids: Stories from the Past,2022,2022,4732,5.79378,7.71221,338,0,4732,,,,,,8.0,,,,,,Found from URL,High,Unlock Kids Stories from the Past_2022_373835.jpg,1,4,,,20 min,1.4,Deduction,Children's Game; Deduction
https://boardgamegeek.com/boardgame/2944/halli-galli # Halli Galli,Halli Galli,Halli Galli,https://boardgamegeek.com/boardgame/2944/halli-galli,2944,Halli Galli,1990,1990,7881,5.62929,5.80124,3516,0,7881,,,,,,356.0,,614.0,,,,Found from URL,High,Halli Galli_1990_2944.jpg,2,6,"4, 5","3, 6",10 min,1.01,Pattern Recognition; Player Elimination,Action / Dexterity; Card Game; Children's Game
https://boardgamegeek.com/boardgame/234877/sebastian-fitzek-safehouse # Sebastian Fitzek Safehouse,Sebastian Fitzek Safehouse,Sebastian Fitzek Safehouse,https://boardgamegeek.com/boardgame/234877/sebastian-fitzek-safehouse,234877,Sebastian Fitzek Safehouse,2017,2017,4813,5.78649,6.4415,1058,0,4813,,,,,,,1500.0,,,,,Found from URL,High,Sebastian Fitzek Safehouse_2017_234877.jpg,2,4,,"2, 3, 4",30 min,2.06,Action Queue; Cooperative Game; Elapsed Real Time Ending; Set Collection,Card Game; Murder / Mystery; Real-time
https://boardgamegeek.com/boardgame/194626/happy-salmon # Happy Salmon,Happy Salmon,Happy Salmon,https://boardgamegeek.com/boardgame/194626/happy-salmon,194626,Happy Salmon,2016,2016,1728,6.33017,6.65994,6588,0,1728,,,,,,,,127.0,,,,Found from URL,High,Happy Salmon_2016_194626.jpg,3,8,"5, 6","4, 8",2 min,1.06,Real-Time,Animals; Children's Game; Party Game
https://boardgamegeek.com/boardgame/1198/set # SET,SET,SET,https://boardgamegeek.com/boardgame/1198/set,1198,SET,1988,1988,1832,6.29424,6.50605,13826,0,1832,,,,159.0,,,701.0,,,,,Found from URL,High,SET_1988_1198.png,1,20,"3, 4","2, 5, 6",30 min,1.65,Pattern Recognition; Real-Time; Speed Matching,Card Game; Puzzle
https://boardgamegeek.com/boardgame/365103/voll-auf-die-18 # Voll auf die 18,Voll auf die 18,Voll auf die 18,https://boardgamegeek.com/boardgame/365103/voll-auf-die-18,365103,Voll auf die 18,2022,2022,13700,5.54328,6.3277,139,0,13700,,,,,,,,,,,,Found from URL,High,Voll auf die 18_2022_365103.jpg,2,5,,,18 min,2.0,Cooperative Game,Educational; Political
https://boardgamegeek.com/boardgame/334137/top-ten-18-plus # Top Ten 18+,Top Ten 18+,Top Ten 18+,https://boardgamegeek.com/boardgame/334137/top-ten-18-plus,334137,Top Ten 18+,2021,2021,4562,5.80646,7.29804,479,0,4562,,,,,,,,227.0,,,,Found from URL,High,Top Ten 18_2021_334137.jpg,4,9,,,20-40 min,1.1,Cooperative Game; Targeted Clues,Mature / Adult; Party Game
https://boardgamegeek.com/boardgame/249821/codenames-harry-potter # Codenames: Harry Potter,Codenames: Harry Potter,Codenames: Harry Potter,https://boardgamegeek.com/boardgame/249821/codenames-harry-potter,249821,Codenames: Harry Potter,2018,2018,4156,5.8517,6.47377,1400,0,4156,,,,,,,1323.0,264.0,,,,Found from URL,High,Codenames Harry Potter_2018_249821.jpg,2,2,2,,15 min,1.61,Communication Limits; Cooperative Game; Pattern Recognition; Push Your Luck,Deduction; Movies / TV / Radio theme; Novel-based
https://boardgamegeek.com/boardgame/2578/phase-10-dice # Phase 10 Würfeln,Phase 10 Würfeln,Phase 10 Würfeln,https://boardgamegeek.com/boardgame/2578/phase-10-dice,2578,Phase 10 Dice,1993,1993,28873,5.43575,5.36246,1163,0,28873,,,,,,,3410.0,,,,,Found from URL,High,Phase 10 Dice_1993_2578.jpg,1,8,"3, 4","2, 5",30 min,1.17,Dice Rolling; Paper-and-Pencil; Push Your Luck; Re-rolling and Locking; Set Collection,Dice
https://boardgamegeek.com/boardgame/430572/horrible-therapist # Horrible Therapist,Horrible Therapist,Horrible Therapist,https://boardgamegeek.com/boardgame/430572/horrible-therapist,430572,Horrible Therapist,2024,2024,28187,5.47285,5.16966,145,0,28187,,,,,,,,,,,,Found from URL,High,Horrible Therapist_2024_430572.jpg,3,8,,,15-60 min,1.0,Player Judge; Simultaneous Action Selection,Card Game; Humor; Mature / Adult
https://boardgamegeek.com/boardgame/129736/cockroach-poker-royal # Kakerlaken Poker Royal,Kakerlaken Poker Royal,Kakerlaken Poker Royal,https://boardgamegeek.com/boardgame/129736/cockroach-poker-royal,129736,Cockroach Poker Royal,2012,2012,1256,6.51223,7.03391,4691,0,1256,,,,,,,,66.0,,,,Found from URL,High,Cockroach Poker Royal_2012_129736.jpg,2,6,"4, 5","3, 6",15-25 min,1.14,Hand Management; Set Collection; Single Loser Game,Bluffing; Card Game; Party Game
https://boardgamegeek.com/boardgame/15818/pickomino # Heckmeck,Heckmeck,Heckmeck,https://boardgamegeek.com/boardgame/15818/pickomino,15818,Pickomino,2005,2005,1556,6.39534,6.59648,12233,0,1556,,,,,,,528.0,,,,,Found from URL,High,Pickomino_2005_15818.jpg,2,7,"3, 4","2, 5",20 min,1.15,Dice Rolling; Push Your Luck; Re-rolling and Locking; Take That,Animals; Dice
https://boardgamegeek.com/boardgame/255356/werwolfe # Werwölfe,Werwölfe,Werwölfe,https://boardgamegeek.com/boardgame/255356/werwolfe,255356,Werwölfe,2017,2017,9566,5.58997,6.55736,237,0,9566,,,,,,,,,,,,Found from URL,High,Werwölfe_2017_255356.jpg,6,24,,,30-60 min,1.17,Hidden Roles; Team-Based Game; Variable Player Powers; Voting,Bluffing; Deduction; Horror
https://boardgamegeek.com/boardgame/312786/poetry-for-neanderthals # Poesie für Neandertaler,Poesie für Neandertaler,Poesie für Neandertaler,https://boardgamegeek.com/boardgame/312786/poetry-for-neanderthals,312786,Poetry for Neanderthals,2020,2020,2476,6.12716,6.6522,3159,0,2476,,,,,,,,166.0,,,,Found from URL,High,Poetry for Neanderthals_2020_312786.jpg,2,12,"6, 8","4, 5, 7, 9, 10, 12",15 min,1.12,Communication Limits; Real-Time; Team-Based Game,Humor; Party Game; Prehistoric
https://boardgamegeek.com/boardgame/1927/munchkin # Munchkin,Munchkin,Munchkin,https://boardgamegeek.com/boardgame/1927/munchkin,1927,Munchkin,2001,2001,6271,5.6917,5.87258,52171,0,6271,,,,,,,,847.0,,1688.0,,Found from URL,High,Munchkin_2001_1927.jpg,3,6,4,"3, 5, 6",60-120 min,1.82,Hand Management; Race; Take That; Variable Player Powers,Card Game; Fantasy; Fighting
https://boardgamegeek.com/boardgame/427624/i-am-done # Ich habe fertig,Ich habe fertig,Ich habe fertig,https://boardgamegeek.com/boardgame/427624/i-am-done,427624,I AM DONE,2024,2024,5272,5.74864,6.59304,698,0,5272,,,,,,,,,,,,Found from URL,High,I AM DONE_2024_427624.jpg,2,5,4,"3, 5",5-20 min,1.17,,Card Game; Humor
https://boardgamegeek.com/boardgame/260180/project-l # Projekt L,Projekt L,Projekt L,https://boardgamegeek.com/boardgame/260180/project-l,260180,Project L,2020,2020,379,7.10624,7.4591,12158,0,379,,,,15.0,,,80.0,,,,,Found from URL,High,Project L_2020_260180.jpg,1,4,"2, 3","1, 4",20-40 min,1.56,Action Points; Open Drafting; Pattern Building; Resource Queue; Solo / Solitaire Game,Abstract Strategy; Puzzle; Video Game Theme
https://boardgamegeek.com/boardgame/431038/azul-duel # AZUL Duel,AZUL Duel,AZUL Duel,https://boardgamegeek.com/boardgame/431038/azul-duel,431038,Azul Duel,2025,2025,2237,6.17835,6.99156,2067,0,2237,,,,83.0,,,697.0,,,,,Found from URL,High,Azul Duel_2025_431038.png,2,2,2,,30-45 min,2.36,End Game Bonuses; Layering; Open Drafting; Pattern Building; Set Collection,Abstract Strategy; Puzzle
https://boardgamegeek.com/boardgame/427260/living-forest-duel # Living Forest Duell,Living Forest Duell,Living Forest Duell,https://boardgamegeek.com/boardgame/427260/living-forest-duel,427260,Living Forest Duel,2025,2025,9020,5.59921,6.3166,318,0,9020,,,,,,,,,,,,Found from URL,High,Living Forest Duel_2025_427260.jpg,2,2,2,,20 min,2.45,Advantage Token; Push Your Luck; Race; Tile Placement,Ancient; Animals; Card Game
https://boardgamegeek.com/boardgame/378200/triqueta # Triqueta,Triqueta,Triqueta,https://boardgamegeek.com/boardgame/378200/triqueta,378200,Triqueta,2023,2023,2797,6.05252,6.85645,1602,0,2797,,,,,,,876.0,,,,,Found from URL,High,Triqueta_2023_378200.jpg,2,5,"3, 4","2, 5",20-30 min,1.31,Open Drafting; Push Your Luck; Set Collection,Abstract Strategy; Animals; Mythology
https://boardgamegeek.com/boardgame/264055/draftosaurus # Draftosaurus,Draftosaurus,Draftosaurus,https://boardgamegeek.com/boardgame/264055/draftosaurus,264055,Draftosaurus,2019,2019,664,6.85865,7.08549,16095,0,664,,,,,,,186.0,,,,,Found from URL,High,Draftosaurus_2019_264055.jpg,2,5,4,"2, 3, 5",15 min,1.25,Closed Drafting; Dice Rolling; Die Icon Resolution; Set Collection; Simultaneous Action Selection,Animals; Prehistoric; Science Fiction
https://boardgamegeek.com/boardgame/264241/mandala # Mandala,Mandala,Mandala,https://boardgamegeek.com/boardgame/264241/mandala,264241,Mandala,2019,2019,538,6.95899,7.4566,6857,0,538,,,,12.0,,,111.0,,,,,Found from URL,High,Mandala_2019_264241.jpg,2,2,2,,20 min,1.78,Area Majority / Influence; Hand Management; Selection Order Bid; Set Collection,Abstract Strategy; Card Game
https://boardgamegeek.com/boardgame/345584/mindbug-first-contact # Mind Bug,Mind Bug,Mind Bug,https://boardgamegeek.com/boardgame/345584/mindbug-first-contact,345584,Mindbug: First Contact,2022,2022,409,7.07737,7.59793,8199,0,409,,,,,,,82.0,,281.0,,,Found from URL,High,Mindbug First Contact_2022_345584.png,2,2,2,,15-25 min,1.93,Hand Management; Take That,Card Game; Fantasy; Fighting
https://boardgamegeek.com/boardgame/6931/katamino # Katamino,Katamino,Katamino,https://boardgamegeek.com/boardgame/6931/katamino,6931,Katamino,1992,1992,4400,5.8226,6.50249,1216,0,4400,,,,239.0,,,,,,,,Found from URL,High,Katamino_1992_6931.jpg,1,2,1,,10 min,1.73,Pattern Building; Pattern Recognition,Abstract Strategy; Children's Game; Puzzle
https://boardgamegeek.com/boardgame/25669/qwirkle # Qwirkle,Qwirkle,Qwirkle,https://boardgamegeek.com/boardgame/25669/qwirkle,25669,Qwirkle,2006,2006,1048,6.61283,6.77695,21596,0,1048,,,,90.0,,,350.0,,,,,Found from URL,High,Qwirkle_2006_25669.jpg,2,4,4,"2, 3",45 min,1.58,Hand Management; Pattern Building; Square Grid; Tile Placement,
https://boardgamegeek.com/boardgame/403468/aqua-biodiversity-in-the-oceans # Aqua,Aqua,Aqua,https://boardgamegeek.com/boardgame/403468/aqua-biodiversity-in-the-oceans,403468,AQUA: Biodiversity in the Oceans,2024,2024,2804,6.05439,7.1863,1181,0,2804,,,,,,,830.0,,,,,Found from URL,High,AQUA Biodiversity in the Oceans_2024_403468.jpg,1,4,,"1, 2, 3, 4",30-45 min,2.13,End Game Bonuses; Open Drafting; Pattern Building; Tile Placement; Variable Set-up,Nautical; Puzzle
https://boardgamegeek.com/boardgame/46396/ubongo-3d # Ubongo 3D,Ubongo 3D,Ubongo 3D,https://boardgamegeek.com/boardgame/46396/ubongo-3d,46396,Ubongo 3D,2009,2009,1992,6.24855,7.07148,2132,0,1992,,,,,,,571.0,,,,,Found from URL,High,Ubongo 3D_2009_46396.jpg,2,4,4,"1, 2, 3",30 min,1.91,Grid Coverage; Pattern Building; Real-Time,Puzzle; Real-time
https://boardgamegeek.com/boardgame/59149/bunny-bunny-moose-moose # Mein Name ist Hase,Mein Name ist Hase,Mein Name ist Hase,https://boardgamegeek.com/boardgame/59149/bunny-bunny-moose-moose,59149,Bunny Bunny Moose Moose,2009,2009,6834,5.66616,6.03844,1065,0,6834,,,,,,,,479.0,,,,Found from URL,High,Bunny Bunny Moose Moose_2009_59149.jpg,3,6,"5, 6",4,20 min,1.53,Acting; Set Collection; Simultaneous Action Selection,Action / Dexterity; Animals; Humor
https://boardgamegeek.com/boardgame/11231/snorta # Snorta!,Snorta!,Snorta!,https://boardgamegeek.com/boardgame/11231/snorta,11231,Snorta!,2004,2004,5724,5.72048,6.08931,1600,0,5724,,,,,,,1780.0,,,,,Found from URL,High,Snorta_2004_11231.jpg,3,8,"6, 7","4, 5, 8",20 min,1.1,Acting; Memory; Speed Matching,Action / Dexterity; Animals; Humor
https://boardgamegeek.com/boardgame/400995/perspectives # Perspektives,Perspektives,Perspektives,https://boardgamegeek.com/boardgame/400995/perspectives,400995,Perspectives,2023,2023,2331,6.1534,7.65908,1011,0,2331,,,,,,,,,,,,Found from URL,High,Perspectives_2023_400995.jpg,2,6,"3, 4",2,60-90 min,1.84,Communication Limits; Cooperative Game; Deduction,Deduction; Murder / Mystery; Puzzle
https://boardgamegeek.com/boardgame/347703/first-rat # First Rat,First Rat,First Rat,https://boardgamegeek.com/boardgame/347703/first-rat,347703,First Rat,2022,2022,708,6.82455,7.53618,4360,0,708,,,,,,,144.0,,412.0,,,Found from URL,High,First Rat_2022_347703.jpg,1,5,"3, 4","1, 2, 5",30-75 min,2.28,Point to Point Movement; Set Collection; Solo / Solitaire Game,Adventure; Animals; Humor
https://boardgamegeek.com/boardgame/438/scotland-yard # Scotland Yard,Scotland Yard,Scotland Yard,https://boardgamegeek.com/boardgame/438/scotland-yard,438,Scotland Yard,1983,1983,1680,6.34585,6.50823,17765,0,1680,,,,,,,617.0,,,,,Found from URL,High,Scotland Yard_1983_438.jpg,2,6,,"2, 3, 4, 5, 6",45 min,1.94,Hidden Movement; Point to Point Movement; Secret Unit Deployment; Team-Based Game,Deduction; Travel
https://boardgamegeek.com/boardgame/822/carcassonne # Carcassonne Big Box,Carcassonne Big Box,Carcassonne Big Box,https://boardgamegeek.com/boardgame/822/carcassonne,822,Carcassonne,2000,2000,235,7.29625,7.41285,135632,0,235,,,,,,,55.0,,,,,Found from URL,High,Carcassonne_2000_822.png,2,5,2,"3, 4, 5",30-45 min,1.89,Area Majority / Influence; Enclosure; Kill Steal; Map Addition; Pattern Building,Medieval; Territory Building
https://boardgamegeek.com/boardgame/32441/bezzerwizzer # Bezzerwizzer,Bezzerwizzer,Bezzerwizzer,https://boardgamegeek.com/boardgame/32441/bezzerwizzer,32441,Bezzerwizzer,2007,2007,2986,6.01641,6.41564,3548,0,2986,,,,,,,1042.0,245.0,,,,Found from URL,High,Bezzerwizzer_2007_32441.jpg,2,12,"4, 8","3, 5, 6, 9, 10, 12",45 min,1.52,Betting and Bluffing; Simultaneous Action Selection,Party Game; Trivia
https://boardgamegeek.com/boardgame/275293/kampf-gegen-die-korinthenkacker # Kampf gegen die Korinthenkacker,Kampf gegen die Korinthenkacker,Kampf gegen die Korinthenkacker,https://boardgamegeek.com/boardgame/275293/kampf-gegen-die-korinthenkacker,275293,Kampf gegen die Korinthenkacker,2018,2018,0,0.0,6.58333,18,0,,,,,,,,,,,,,Found from URL,High,Kampf gegen die Korinthenkacker_2018_275293.jpg,3,8,,,30-500 min,,Hand Management; Simultaneous Action Selection,Card Game; Humor; Mature / Adult
https://boardgamegeek.com/boardgame/383789/cdsk # KWIZ,KWIZ,KWIZ,https://boardgamegeek.com/boardgame/383789/cdsk,383789,CDSK,2023,2023,5860,5.71194,7.11586,353,0,5860,,,,,,,,,,,,Found from URL,High,CDSK_2023_383789.png,2,16,,,45 min,1.0,Push Your Luck; Team-Based Game; Track Movement,Trivia
https://boardgamegeek.com/boardgame/370164/fun-facts # Fun Facts,Fun Facts,Fun Facts,https://boardgamegeek.com/boardgame/370164/fun-facts,370164,Fun Facts,2022,2022,1662,6.35353,7.04985,2817,0,1662,,,,,,,,68.0,,,,Found from URL,High,Fun Facts_2022_370164.jpg,4,8,"6, 7, 8","4, 5",30 min,1.04,Cooperative Game; Ordering,Party Game
https://boardgamegeek.com/boardgame/8829/nobody-is-perfect # Nobody is Perfect,Nobody is Perfect,Nobody is Perfect,https://boardgamegeek.com/boardgame/8829/nobody-is-perfect,8829,Nobody Is Perfect,1992,1992,3395,5.95105,6.82136,1209,0,3395,,,,,,,,206.0,,,,Found from URL,High,Nobody Is Perfect_1992_8829.jpg,3,10,"5, 6, 8","4, 7, 9",45 min,1.55,Simultaneous Action Selection; Voting,Bluffing; Humor; Party Game
https://boardgamegeek.com/boardgame/224037/codenames-duet # Codenames: Duett,Codenames: Duett,Codenames: Duett,https://boardgamegeek.com/boardgame/224037/codenames-duet,224037,Codenames: Duet,2017,2017,267,7.24019,7.41589,25573,0,267,,,,,,,56.0,,,,,Found from URL,High,Codenames_ Duet_2017_224037.png,2,2,2,,15-30 min,1.36,Communication Limits; Cooperative Game; Memory,Card Game; Deduction; Spies / Secret Agents
https://boardgamegeek.com/boardgame/254640/just-one # Just One,Just One,Just One,https://boardgamegeek.com/boardgame/254640/just-one,254640,Just One,2018,2018,154,7.44019,7.59913,32773,0,154,,,,,,,,3.0,,,,Found from URL,High,Just One_2018_254640.png,3,7,"6, 7","4, 5, 7+",20-60 min,1.04,Communication Limits; Cooperative Game; Deduction; Score-and-Reset Game,Deduction; Party Game; Word Game
https://boardgamegeek.com/boardgame/318977/micromacro-crime-city # MicroMacro: Crime City,MicroMacro: Crime City,MicroMacro: Crime City,https://boardgamegeek.com/boardgame/318977/micromacro-crime-city,318977,MicroMacro: Crime City,2020,2020,279,7.22226,7.46321,18545,0,279,,,,,,,57.0,,,,,Found from URL,High,MicroMacro_ Crime City_2020_318977.jpg,1,4,2,"1, 3",15-45 min,1.1,Cooperative Game; Deduction; Scenario / Mission / Campaign Game; Solo / Solitaire Game,Deduction; Murder / Mystery
https://boardgamegeek.com/boardgame/165628/hint # Hint,Hint,Hint,https://boardgamegeek.com/boardgame/165628/hint,165628,HINT,2014,2014,6460,5.68338,6.66141,520,0,6460,,,,,,,,,,,,Found from URL,High,HINT_2014_165628.jpg,4,10,"6, 8","4, 5, 7, 10",45-60 min,1.27,Acting; Line Drawing; Singing; Team-Based Game,Party Game
